concept:name,org:resource,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,start_timestamp,time:timestamp,@@duration,case:concept:name,case:variant,case:variant-index,case:creator
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-06-11 10:19:00-05:00,2011-06-11 10:28:00-05:00,540.0,1114,Variant 3,3,Fluxicon Disco
Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,2011-06-10 22:05:00-05:00,2011-06-10 22:26:00-05:00,1260.0,1116,Variant 26,26,Fluxicon Disco
Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,2011-06-11 01:46:00-05:00,2011-06-11 01:55:00-05:00,540.0,1116,Variant 26,26,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-06-14 23:31:00-05:00,2011-06-14 23:48:00-05:00,1020.0,1116,Variant 26,26,Fluxicon Disco
Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,2011-06-15 00:40:00-05:00,2011-06-15 00:48:00-05:00,480.0,1116,Variant 26,26,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-06-27 02:24:00-05:00,2011-06-27 02:31:00-05:00,420.0,1116,Variant 26,26,Fluxicon Disco
Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,2011-06-27 03:20:00-05:00,2011-06-27 03:33:00-05:00,780.0,1116,Variant 26,26,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-08-02 15:49:00-05:00,2011-08-02 16:11:00-05:00,1320.0,1116,Variant 26,26,Fluxicon Disco
Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,2011-08-02 16:55:00-05:00,2011-08-02 17:02:00-05:00,420.0,1116,Variant 26,26,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-08-14 08:51:00-05:00,2011-08-14 09:28:00-05:00,2220.0,1116,Variant 26,26,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-08-14 23:45:00-05:00,2011-08-15 00:15:00-05:00,1800.0,1116,Variant 26,26,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-08-15 02:23:00-05:00,2011-08-15 06:32:00-05:00,14940.0,1116,Variant 26,26,Fluxicon Disco
Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,2011-08-15 13:19:00-05:00,2011-08-15 13:35:00-05:00,960.0,1116,Variant 26,26,Fluxicon Disco
Choose best option,Elvira Lores,Choose best option,Elvira Lores,Choose best option,Elvira Lores,Choose best option,Elvira Lores,2011-08-15 13:35:00-05:00,2011-08-15 13:35:00-05:00,0.0,1116,Variant 26,26,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-08-17 08:40:00-05:00,2011-08-17 19:57:00-05:00,40620.0,1116,Variant 26,26,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-08-17 23:37:00-05:00,2011-08-17 23:50:00-05:00,780.0,1116,Variant 26,26,Fluxicon Disco
Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,2011-08-18 12:05:00-05:00,2011-08-18 12:14:00-05:00,540.0,1116,Variant 26,26,Fluxicon Disco
Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,2011-09-03 07:11:00-05:00,2011-09-03 10:23:00-05:00,11520.0,1116,Variant 26,26,Fluxicon Disco
Release Purchase Order,Penn Osterwalder,Release Purchase Order,Penn Osterwalder,Release Purchase Order,Penn Osterwalder,Release Purchase Order,Penn Osterwalder,2011-09-03 18:22:00-05:00,2011-09-03 18:23:00-05:00,60.0,1116,Variant 26,26,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-09-03 21:51:00-05:00,2011-09-03 21:52:00-05:00,60.0,1116,Variant 26,26,Fluxicon Disco
Send Invoice,Carmen Finacse,Send Invoice,Carmen Finacse,Send Invoice,Carmen Finacse,Send Invoice,Carmen Finacse,2011-09-12 13:53:00-05:00,2011-09-12 13:53:00-05:00,0.0,1116,Variant 26,26,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-09-13 04:25:00-05:00,2011-09-13 04:31:00-05:00,360.0,1116,Variant 26,26,Fluxicon Disco
Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,2011-09-13 05:02:00-05:00,2011-09-13 05:17:00-05:00,900.0,1116,Variant 26,26,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-09-13 05:17:00-05:00,2011-09-13 05:17:00-05:00,0.0,1116,Variant 26,26,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-09-13 06:22:00-05:00,2011-09-13 06:27:00-05:00,300.0,1116,Variant 26,26,Fluxicon Disco
Create Purchase Requisition,Anne Olwada,Create Purchase Requisition,Anne Olwada,Create Purchase Requisition,Anne Olwada,Create Purchase Requisition,Anne Olwada,2011-06-11 01:44:00-05:00,2011-06-11 02:34:00-05:00,3000.0,1118,Variant 9,9,Fluxicon Disco
Create Request for Quotation,Clement Duchot,Create Request for Quotation,Clement Duchot,Create Request for Quotation,Clement Duchot,Create Request for Quotation,Clement Duchot,2011-06-11 06:11:00-05:00,2011-06-11 06:21:00-05:00,600.0,1118,Variant 9,9,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-06-14 12:32:00-05:00,2011-06-14 12:45:00-05:00,780.0,1118,Variant 9,9,Fluxicon Disco
Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,2011-06-14 15:30:00-05:00,2011-06-14 15:44:00-05:00,840.0,1118,Variant 9,9,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-06-14 16:28:00-05:00,2011-06-14 19:11:00-05:00,9780.0,1118,Variant 9,9,Fluxicon Disco
Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,2011-06-15 01:49:00-05:00,2011-06-15 02:09:00-05:00,1200.0,1118,Variant 9,9,Fluxicon Disco
Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,2011-06-15 02:09:00-05:00,2011-06-15 02:09:00-05:00,0.0,1118,Variant 9,9,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-06-17 13:23:00-05:00,2011-06-17 19:57:00-05:00,23640.0,1118,Variant 9,9,Fluxicon Disco
Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,2011-06-17 21:41:00-05:00,2011-06-17 21:48:00-05:00,420.0,1118,Variant 9,9,Fluxicon Disco
Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,2011-06-21 00:05:00-05:00,2011-06-21 00:13:00-05:00,480.0,1118,Variant 9,9,Fluxicon Disco
Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,2011-06-23 12:31:00-05:00,2011-06-24 06:10:00-05:00,63540.0,1118,Variant 9,9,Fluxicon Disco
Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,2011-06-24 13:51:00-05:00,2011-06-24 13:52:00-05:00,60.0,1118,Variant 9,9,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-06-25 05:43:00-05:00,2011-06-25 05:44:00-05:00,60.0,1118,Variant 9,9,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-06-25 19:00:00-05:00,2011-06-25 19:00:00-05:00,0.0,1118,Variant 9,9,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-06-26 09:20:00-05:00,2011-06-26 09:26:00-05:00,360.0,1118,Variant 9,9,Fluxicon Disco
Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,2011-06-26 10:05:00-05:00,2011-06-26 10:19:00-05:00,840.0,1118,Variant 9,9,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-06-26 10:19:00-05:00,2011-06-26 10:19:00-05:00,0.0,1118,Variant 9,9,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-06-26 10:56:00-05:00,2011-06-26 11:07:00-05:00,660.0,1118,Variant 9,9,Fluxicon Disco
Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,2011-06-12 14:50:00-05:00,2011-06-12 15:31:00-05:00,2460.0,1123,Variant 4,4,Fluxicon Disco
Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,2011-06-13 00:58:00-05:00,2011-06-13 01:05:00-05:00,420.0,1123,Variant 4,4,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-06-13 01:12:00-05:00,2011-06-13 01:14:00-05:00,120.0,1123,Variant 4,4,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-06-21 23:57:00-05:00,2011-06-22 00:38:00-05:00,2460.0,1123,Variant 4,4,Fluxicon Disco
Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,2011-06-13 19:58:00-05:00,2011-06-13 20:24:00-05:00,1560.0,1128,Variant 10,10,Fluxicon Disco
Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,2011-06-14 02:56:00-05:00,2011-06-14 03:06:00-05:00,600.0,1128,Variant 10,10,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-06-19 23:18:00-05:00,2011-06-19 23:46:00-05:00,1680.0,1128,Variant 10,10,Fluxicon Disco
Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,2011-06-20 00:43:00-05:00,2011-06-20 00:51:00-05:00,480.0,1128,Variant 10,10,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-07-12 07:13:00-05:00,2011-07-12 07:31:00-05:00,1080.0,1128,Variant 10,10,Fluxicon Disco
Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,2011-07-12 08:20:00-05:00,2011-07-12 08:30:00-05:00,600.0,1128,Variant 10,10,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-07-22 13:07:00-05:00,2011-07-22 13:20:00-05:00,780.0,1128,Variant 10,10,Fluxicon Disco
Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,2011-07-23 16:49:00-05:00,2011-07-23 17:07:00-05:00,1080.0,1128,Variant 10,10,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-07-24 05:19:00-05:00,2011-07-24 07:36:00-05:00,8220.0,1128,Variant 10,10,Fluxicon Disco
Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,2011-07-24 14:36:00-05:00,2011-07-24 14:49:00-05:00,780.0,1128,Variant 10,10,Fluxicon Disco
Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,2011-07-24 14:49:00-05:00,2011-07-24 14:49:00-05:00,0.0,1128,Variant 10,10,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-07-25 05:55:00-05:00,2011-07-25 19:17:00-05:00,48120.0,1128,Variant 10,10,Fluxicon Disco
Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,2011-07-26 09:37:00-05:00,2011-07-26 09:46:00-05:00,540.0,1128,Variant 10,10,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-08-03 02:09:00-05:00,2011-08-03 02:25:00-05:00,960.0,1128,Variant 10,10,Fluxicon Disco
Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,2011-08-28 16:14:00-05:00,2011-08-29 09:16:00-05:00,61320.0,1128,Variant 10,10,Fluxicon Disco
Release Purchase Order,Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,2011-08-29 16:30:00-05:00,2011-08-29 16:31:00-05:00,60.0,1128,Variant 10,10,Fluxicon Disco
Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,2011-08-30 05:54:00-05:00,2011-08-30 05:55:00-05:00,60.0,1128,Variant 10,10,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-09-01 05:40:00-05:00,2011-09-01 05:40:00-05:00,0.0,1128,Variant 10,10,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-09-01 20:06:00-05:00,2011-09-01 20:13:00-05:00,420.0,1128,Variant 10,10,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-09-01 20:13:00-05:00,2011-09-01 20:13:00-05:00,0.0,1128,Variant 10,10,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-09-01 20:47:00-05:00,2011-09-01 20:59:00-05:00,720.0,1128,Variant 10,10,Fluxicon Disco
Create Purchase Requisition,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,2011-06-15 13:46:00-05:00,2011-06-15 14:22:00-05:00,2160.0,1141,Variant 15,15,Fluxicon Disco
Create Request for Quotation,Tesca Lobes,Create Request for Quotation,Tesca Lobes,Create Request for Quotation,Tesca Lobes,Create Request for Quotation,Tesca Lobes,2011-06-15 16:50:00-05:00,2011-06-15 17:03:00-05:00,780.0,1141,Variant 15,15,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-06-20 22:33:00-05:00,2011-06-20 22:58:00-05:00,1500.0,1141,Variant 15,15,Fluxicon Disco
Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,2011-06-20 23:58:00-05:00,2011-06-21 00:10:00-05:00,720.0,1141,Variant 15,15,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-07-09 03:46:00-05:00,2011-07-09 04:25:00-05:00,2340.0,1141,Variant 15,15,Fluxicon Disco
Amend Request for Quotation,Elvira Lores,Amend Request for Quotation,Elvira Lores,Amend Request for Quotation,Elvira Lores,Amend Request for Quotation,Elvira Lores,2011-07-09 05:16:00-05:00,2011-07-09 05:27:00-05:00,660.0,1141,Variant 15,15,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-07-18 17:13:00-05:00,2011-07-18 17:37:00-05:00,1440.0,1141,Variant 15,15,Fluxicon Disco
Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,2011-07-18 18:15:00-05:00,2011-07-18 18:20:00-05:00,300.0,1141,Variant 15,15,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-08-10 17:51:00-05:00,2011-08-10 18:13:00-05:00,1320.0,1141,Variant 15,15,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-08-11 07:37:00-05:00,2011-08-11 07:57:00-05:00,1200.0,1141,Variant 15,15,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-08-11 08:45:00-05:00,2011-08-11 13:22:00-05:00,16620.0,1141,Variant 15,15,Fluxicon Disco
Analyze Quotation Comparison Map,Anna Kaufmann,Analyze Quotation Comparison Map,Anna Kaufmann,Analyze Quotation Comparison Map,Anna Kaufmann,Analyze Quotation Comparison Map,Anna Kaufmann,2011-08-11 20:26:00-05:00,2011-08-11 20:52:00-05:00,1560.0,1141,Variant 15,15,Fluxicon Disco
Choose best option,Elvira Lores,Choose best option,Elvira Lores,Choose best option,Elvira Lores,Choose best option,Elvira Lores,2011-08-11 20:52:00-05:00,2011-08-11 20:52:00-05:00,0.0,1141,Variant 15,15,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-08-13 23:30:00-05:00,2011-08-14 09:00:00-05:00,34200.0,1141,Variant 15,15,Fluxicon Disco
Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,2011-08-14 11:29:00-05:00,2011-08-14 11:39:00-05:00,600.0,1141,Variant 15,15,Fluxicon Disco
Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,Sean Manney,2011-08-15 19:01:00-05:00,2011-08-15 19:16:00-05:00,900.0,1141,Variant 15,15,Fluxicon Disco
Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,2011-08-21 16:21:00-05:00,2011-08-22 10:07:00-05:00,63960.0,1141,Variant 15,15,Fluxicon Disco
Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,2011-08-22 18:00:00-05:00,2011-08-22 18:01:00-05:00,60.0,1141,Variant 15,15,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-08-23 15:04:00-05:00,2011-08-23 15:05:00-05:00,60.0,1141,Variant 15,15,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-08-29 23:17:00-05:00,2011-08-29 23:17:00-05:00,0.0,1141,Variant 15,15,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-08-30 13:42:00-05:00,2011-08-30 13:48:00-05:00,360.0,1141,Variant 15,15,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-08-30 13:48:00-05:00,2011-08-30 13:48:00-05:00,0.0,1141,Variant 15,15,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-08-30 14:09:00-05:00,2011-08-30 14:18:00-05:00,540.0,1141,Variant 15,15,Fluxicon Disco
Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,2011-06-16 00:39:00-05:00,2011-06-16 01:03:00-05:00,1440.0,1144,Variant 5,5,Fluxicon Disco
Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,Kim Passa,2011-06-16 01:58:00-05:00,2011-06-16 02:09:00-05:00,660.0,1144,Variant 5,5,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-06-28 16:28:00-05:00,2011-06-28 16:48:00-05:00,1200.0,1144,Variant 5,5,Fluxicon Disco
Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,2011-06-16 07:19:00-05:00,2011-06-16 07:56:00-05:00,2220.0,1146,Variant 2,2,Fluxicon Disco
Create Request for Quotation,Miu Hanwan,Create Request for Quotation,Miu Hanwan,Create Request for Quotation,Miu Hanwan,Create Request for Quotation,Miu Hanwan,2011-06-16 13:23:00-05:00,2011-06-16 13:33:00-05:00,600.0,1146,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-06-21 16:36:00-05:00,2011-06-21 16:57:00-05:00,1260.0,1146,Variant 2,2,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-06-21 21:41:00-05:00,2011-06-21 22:16:00-05:00,2100.0,1146,Variant 2,2,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-06-21 22:45:00-05:00,2011-06-22 00:40:00-05:00,6900.0,1146,Variant 2,2,Fluxicon Disco
